category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,sign,Enriched group
Environmental Information Processing,Signaling molecules and interaction,mmu04060,Cytokine-cytokine receptor interaction - Mus musculus (house mouse),107/1643,294/9577,0.363945578,2.121428364,8.887216885,7.22E-16,2.23E-14,1.56E-14,Ngfr/Il12rb1/Fasl/Ccl3/Il16/Tgfb1/Il17ra/Ebi3/Il7r/Il12b/Il27ra/Tnfsf14/Relt/Ccl8/Tnfrsf13b/Csf1/Il10/Cd40/Il12rb2/Cxcl16/Ccl4/Ccl11/Ccl1/Tnfsf11/Ifngr2/Ifnar2/Cxcl13/Il15ra/Cd4/Tnfrsf12a/Ltb/Tnf/Lta/Csf1r/Gdf11/Il6/Ccr1/Il17a/Il18rap/Il1rl1/Il1r2/Ccl20/Cxcr2/Tnfrsf11a/Il24/Xcl1/Tnfsf4/Il2ra/Il1rn/Il1b/Il21/Tnfsf8/Tnfrsf1b/Tnfrsf8/Csf3r/Tnfrsf9/Tnfrsf4/Cxcl5/Cxcl3/Cxcl1/Cxcl9/Ccr9/Cd27/Il21r/Il4ra/Cd40lg/Il2rg/Ccl22/Il10ra/Crlf2/Lif/Cxcl10/Ccl5/Ccl12/Ccl7/Ccl2/Tnfsf9/Ccr7/Csf3/Ccr6/Inhba/Il17f/Tnfrsf18/Ccr8/Tnfrsf14/Il36g/Il27/Cxcr5/Ccr4/Cxcr6/Ccr2/Cxcr3/Ifng/Cxcl2/Osm/Csf2ra/Cxcl11/Xcr1/Tnfrsf13c/Il2rb/Csf2rb/Csf2rb2/Ccr5/Cntf/Il13ra2/Gdf15/Ifnb1,107,yes,Severe
Human Diseases,Infectious disease: viral,mmu05166,Human T-cell leukemia virus 1 infection - Mus musculus (house mouse),94/1643,247/9577,0.380566802,2.218313,8.827369086,1.77E-15,5.02E-14,3.49E-14,Itgb2/Lck/Cd3g/Ccne1/Spi1/Ranbp3/Tgfb1/Relb/Calr/Bax/Stat5a/Ranbp1/Cdc20/Cdk4/H2-M3/Slc25a5/Cd40/Pttg1/Map3k14/Nfkbia/Map3k1/Vdac2/Ppp3cc/Myc/Cdkn1a/Il15ra/Cd4/H2-Oa/Tnf/Lta/Fosl1/Nfkb2/Cdk2/Il6/Il1r2/Il2ra/Creb3l1/E2f1/Nfatc2/Ccna2/Ccne2/Slc2a1/Ran/Mad2l1/Anapc15/Itgal/Il2rg/Ikbkb/Jak3/Cd3e/Cd3d/Chek1/Ccnb2/Nfatc1/Ccnd3/Map2k2/H2-Q4/H2-Ea/H2-Aa/H2-DMb2/H2-DMa/Pik3cd/Bub1b/H2-Ob/Tspo/Atf4/Creb5/H2-T24/H2-T22/Espl1/H2-Q7/H2-Eb1/B2m/H2-K1/Bub3/H2-T23/H2-Q10/H2-Eb2/Tnfrsf13c/Il2rb/H2-Bl/H2-Q6/H2-D1/H2-Ab1/H2-T10/H2-Q1/H2-DMb1/H2-Q2/Map2k1/Atf6b/Nfkb1/Icam1/Egr2/Trp53,94,yes,Severe
Genetic Information Processing,Replication and repair,mmu03030,DNA replication - Mus musculus (house mouse),28/1643,36/9577,0.777777778,4.533644417,9.665891149,2.20E-15,5.75E-14,4.00E-14,Rpa1/Mcm2/Mcm5/Pole/Pold2/Rnaseh1/Pole2/Mcm4/Rfc4/Rfc2/Fen1/Pola2/Pold4/Prim1/Prim2/Mcm6/Pcna/Rpa2/Rfc5/Mcm7/Pole4/Pold3/Rfc3/Dna2/Pold1/Mcm3/Rnaseh2a/Lig1,28,yes,Severe
Organismal Systems,Immune system,mmu04662,B cell receptor signaling pathway - Mus musculus (house mouse),46/1643,84/9577,0.547619048,3.192055763,9.182358674,4.56E-15,1.11E-13,7.71E-14,Cd79a/Ptpn6/Vav2/Blk/Nfkbia/Syk/Ppp3cc/Nfkbie/Pik3ap1/Ifitm1/Inpp5d/Fcgr2b/Nfatc2/Dapp1/Bcl10/Cd72/Lilra6/Cd22/Nfkbib/Cd19/Btk/Ikbkb/Malt1/Nfatc1/Rac2/Vav1/Plcg2/Map2k2/Card11/Bank1/Pik3cd/Cd79b/Lyn/Prkcb/Pirb/Grb2/Blnk/Pira12/Pira13/Pira1/Pira2/Lilrb4b/Lilrb4a/Raf1/Map2k1/Nfkb1,46,yes,Severe
Human Diseases,Immune disease,mmu05321,Inflammatory bowel disease - Mus musculus (house mouse),38/1643,62/9577,0.612903226,3.57259537,9.247571216,7.47E-15,1.69E-13,1.18E-13,Il12rb1/Tbx21/Tgfb1/Stat3/Il12b/Il10/Il12rb2/Ifngr2/H2-Oa/Tnf/Il6/Il17a/Il18rap/Stat1/Il1b/Il21/Tlr2/Il21r/Il4ra/Il2rg/Nfatc1/H2-Ea/H2-Aa/H2-DMb2/H2-DMa/Foxp3/H2-Ob/Il17f/Ifng/Nod2/H2-Eb1/Stat4/H2-Eb2/H2-Ab1/H2-DMb1/Stat6/Nfkb1/Tlr4,38,yes,Severe
Organismal Systems,Immune system,mmu04650,Natural killer cell mediated cytotoxicity - Mus musculus (house mouse),57/1643,120/9577,0.475,2.768761412,8.872539384,1.07E-14,2.27E-13,1.58E-13,Itgb2/Lck/Fasl/Lcp2/Ptpn6/Bid/Cd244a/Sh2d1a/Cd247/Vav2/Cd48/Gzmb/Fyn/Syk/Ppp3cc/Ifngr2/Ifnar2/Tnf/Zap70/Nfatc2/Klrk1/Klrd1/Klrc1/Klrb1c/Tyrobp/Lat/Itgal/Casp3/Nfatc1/Rac2/Vav1/Plcg2/Map2k2/Prf1/Pik3cd/Lat2/Klrc2/Prkcb/Raet1e/Sh3bp2/Ifng/Fcer1g/Fcgr4/Ptk2b/Grb2/H2-K1/Hcst/H2-T23/Klra7/H2-D1/Raet1d/Raf1/Map2k1/Klra9/Icam1/Ifnb1/Sh2d1b2,57,yes,Severe
Genetic Information Processing,"Folding, sorting and degradation",mmu03050,Proteasome - Mus musculus (house mouse),32/1643,47/9577,0.680851064,3.968661374,9.283845253,1.27E-14,2.54E-13,1.77E-13,Psmc3/Psmd4/Psmb4/Psmb1/Psma2/Psmd3/Psmb6/Psmc5/Psmd12/Psma6/Psmb5/Psme1/Psmb8/Psmb7/Psmd14/Psma7/Psmb2/Psmc2/Pomp/Psmd8/Psmc4/Psma1/Psmb10/Psma4/Adrm1/Psmd7/Ifng/Psma5/Psmb3/Psme3/Psme2/Psmb9,32,yes,Severe
Cellular Processes,Cell growth and death,mmu04110,Cell cycle - Mus musculus (house mouse),67/1643,157/9577,0.426751592,2.487522824,8.551706069,3.66E-14,6.91E-13,4.81E-13,Cdc45/Ccne1/Dbf4/Tgfb1/Mcm2/Mcm5/Zbtb17/Cdc20/Cdt1/Cdk4/E2f4/Cdc6/Ywhah/Fbxo5/Cdk1/Ppp2ca/Pttg1/Aurkb/Trip13/Esco2/Myc/Mtbp/Mcm4/Cdkn1a/Pkmyt1/Sgo1/Ndc80/Cdca5/Cdk2/Mcm6/Knl1/Pcna/Bub1/E2f1/Rbl1/Ccna2/Ccne2/Orc1/Hdac1/Mad2l2/Cdc7/Mcm7/Mad2l1/Anapc15/Plk1/Orc6/Chek1/Ccnb2/Cdc25a/Ccnd3/Mad2l1bp/Ttk/Tfdp1/Bub1b/Ccnb1/Mcm3/Cdc25c/Ticrr/Sfn/Ywhag/Skp2/Espl1/Bub3/Cdkn2d/Ywhaz/Orc2/Trp53,67,yes,Severe
Organismal Systems,Immune system,mmu04621,NOD-like receptor signaling pathway - Mus musculus (house mouse),83/1643,216/9577,0.384259259,2.23983623,8.38677184,4.40E-14,7.88E-13,5.49E-13,Irf9/Txn2/Cyba/Trpm2/Cybb/Trpv2/Tnfaip3/Tbk1/Nampt/Nfkbia/Traf3/Ripk1/Naip1/Vdac2/Ctsb/Prkcd/Ripk3/Mefv/Sharpin/Gsdmd/Ifnar2/Sting1/Tnf/Irf7/Il6/Casp1/Casp8/Stat1/Card9/Traf2/Il1b/Rbck1/Gbp3/Gbp2/Cxcl3/Cxcl1/Oas1b/Nfkbib/Pycard/Ikbkb/Panx1/Birc3/Tyk2/Pstpip1/Myd88/Oas3/Oas2/Nlrp3/Casp4/Gpsm3/Ccl5/Ccl12/Ccl2/Aim2/Nlrc4/Stat2/Plcb2/Gbp7/Gbp2b/Ripk2/Ikbke/Irgm1/Rnf31/Ticam1/Nod2/Birc2/Cxcl2/Irak4/Tank/Irgm2/Nlrp1b/Naip5/Ifi204/Naip6/Naip2/AY761185/Gbp5/Hsp90aa1/Hsp90ab1/Nfkb1/Atg5/Tlr4/Ifnb1,83,yes,Severe
Human Diseases,Immune disease,mmu05330,Allograft rejection - Mus musculus (house mouse),36/1643,60/9577,0.6,3.497382836,8.830300142,9.82E-14,1.59E-12,1.11E-12,Fasl/Il12b/Gzmb/H2-M3/Il10/Cd40/Cd86/H2-Oa/Tnf/Cd28/Cd40lg/H2-Q4/H2-Ea/H2-Aa/Prf1/H2-DMb2/H2-DMa/H2-Ob/H2-T24/Ifng/H2-T22/H2-Q7/H2-Eb1/H2-K1/H2-T23/H2-Q10/H2-Eb2/H2-Bl/H2-Q6/H2-D1/H2-Ab1/Cd80/H2-T10/H2-Q1/H2-DMb1/H2-Q2,36,yes,Severe
Human Diseases,Immune disease,mmu05332,Graft-versus-host disease - Mus musculus (house mouse),36/1643,60/9577,0.6,3.497382836,8.830300142,9.82E-14,1.59E-12,1.11E-12,Fasl/Gzmb/H2-M3/Cd86/H2-Oa/Tnf/Il6/Cd28/Il1b/Klrd1/Klrc1/H2-Q4/H2-Ea/H2-Aa/Prf1/H2-DMb2/H2-DMa/H2-Ob/H2-T24/Ifng/H2-T22/H2-Q7/H2-Eb1/H2-K1/H2-T23/H2-Q10/H2-Eb2/H2-Bl/H2-Q6/H2-D1/H2-Ab1/Cd80/H2-T10/H2-Q1/H2-DMb1/H2-Q2,36,yes,Severe
Organismal Systems,Immune system,mmu04658,Th1 and Th2 cell differentiation - Mus musculus (house mouse),45/1643,88/9577,0.511363636,2.980724008,8.494148137,2.48E-13,3.83E-12,2.66E-12,Lck/Il12rb1/Tbx21/Cd3g/Stat5a/Il12b/Cd247/Il12rb2/Nfkbia/Ppp3cc/Ifngr2/Cd4/Nfkbie/H2-Oa/Jak2/Stat1/Zap70/Il2ra/Prkcq/Nfatc2/Nfkbib/Lat/Il4ra/Il2rg/Ikbkb/Jak3/Cd3e/Cd3d/Tyk2/Nfatc1/H2-Ea/H2-Aa/H2-DMb2/H2-DMa/H2-Ob/Ifng/H2-Eb1/Stat4/H2-Eb2/Il2rb/Runx3/H2-Ab1/H2-DMb1/Stat6/Nfkb1,45,yes,Severe
Environmental Information Processing,Signaling molecules and interaction,mmu04061,Viral protein interaction with cytokine and cytokine receptor - Mus musculus (house mouse),47/1643,95/9577,0.494736842,2.8838069,8.396783639,3.56E-13,5.26E-12,3.66E-12,Ccl3/Tnfsf14/Ccl8/Csf1/Il10/Ccl4/Ccl11/Ccl1/Cxcl13/Tnf/Lta/Csf1r/Il6/Ccr1/Il18rap/Ccl20/Cxcr2/Il24/Xcl1/Il2ra/Tnfrsf1b/Cxcl5/Cxcl3/Cxcl1/Cxcl9/Ccr9/Il2rg/Ccl22/Il10ra/Cxcl10/Ccl5/Ccl12/Ccl7/Ccl2/Ccr7/Ccr6/Ccr8/Tnfrsf14/Cxcr5/Ccr4/Ccr2/Cxcr3/Cxcl2/Cxcl11/Xcr1/Il2rb/Ccr5,47,yes,Severe
Human Diseases,Cancer: overview,mmu05235,PD-L1 expression and PD-1 checkpoint pathway in cancer - Mus musculus (house mouse),44/1643,88/9577,0.5,2.914485697,8.210091385,1.26E-12,1.79E-11,1.25E-11,Lck/Cd3g/Stat3/Ptpn6/Cd247/Cd274/Nfkbia/Hif1a/Ppp3cc/Ifngr2/Cd4/Nfkbie/Jak2/Rps6kb2/Cd28/Stat1/Zap70/Pdcd1/Batf3/Prkcq/Rasgrp1/Nfatc2/Tlr2/Nfkbib/Lat/Ikbkb/Cd3e/Cd3d/Myd88/Eml4/Nfatc1/Batf/Map2k2/Batf2/Pik3cd/Tlr9/Csnk2a2/Ticam1/Ifng/Ticam2/Raf1/Map2k1/Nfkb1/Tlr4,44,yes,Severe
Human Diseases,Infectious disease: parasitic,mmu05145,Toxoplasmosis - Mus musculus (house mouse),50/1643,109/9577,0.458715596,2.673840089,7.997658242,2.48E-12,3.37E-11,2.34E-11,Tgfb1/Stat3/Il12b/Il10/Cd40/Pik3cg/Pik3r5/Nfkbia/Ppif/Ciita/Ifngr2/H2-Oa/Tnf/Jak2/Ly96/Casp8/Stat1/Tlr2/Nfkbib/Cd40lg/Ikbkb/Casp3/Birc3/Il10ra/Tyk2/Myd88/H2-Ea/H2-Aa/H2-DMb2/H2-DMa/Socs1/H2-Ob/Irgm1/Tlr11/Ifng/Birc2/Irak4/H2-Eb1/Cycs/H2-Eb2/Irgm2/H2-Ab1/Igtp/Ccr5/H2-DMb1/Hspa1a/Hspa8/Nos2/Nfkb1/Tlr4,50,yes,Severe
Human Diseases,Immune disease,mmu05323,Rheumatoid arthritis - Mus musculus (house mouse),43/1643,87/9577,0.494252874,2.880985861,8.020044972,3.77E-12,4.92E-11,3.43E-11,Itgb2/Ccl3/Acp5/Tcirg1/Tgfb1/Atp6v1f/Csf1/Tnfsf11/Cd86/Atp6v0c/H2-Oa/Ltb/Tnf/Il6/Il17a/Ctla4/Cd28/Ccl20/Tnfrsf11a/Il1b/Tlr2/Cxcl5/Cxcl3/Cxcl1/Itgal/Ccl5/Ccl12/Ccl2/H2-Ea/H2-Aa/H2-DMb2/H2-DMa/H2-Ob/Ifng/Cxcl2/H2-Eb1/H2-Eb2/H2-Ab1/Cd80/H2-DMb1/Icam1/Atp6v0a2/Tlr4,43,yes,Severe
Human Diseases,Immune disease,mmu05340,Primary immunodeficiency - Mus musculus (house mouse),25/1643,36/9577,0.694444444,4.047896801,8.33718259,5.30E-12,6.68E-11,4.65E-11,Lck/Cd79a/Il7r/Tnfrsf13b/Cd40/Ada/Ciita/Cd4/Tap2/Icos/Zap70/Ptprc/Ung/Cd19/Cd40lg/Btk/Il2rg/Jak3/Cd3e/Cd3d/Tap1/Cd8b1/Cd8a/Blnk/Tnfrsf13c,25,yes,Severe
Environmental Information Processing,Signal transduction,mmu04668,TNF signaling pathway - Mus musculus (house mouse),52/1643,118/9577,0.440677966,2.568699258,7.802303404,6.16E-12,7.48E-11,5.21E-11,Mmp14/Mlkl/Csf1/Irf1/Tnfaip3/Rhbdf2/Map3k14/Nfkbia/Traf3/Ripk1/Ripk3/Map3k8/Tnf/Lta/Frmd8/Casp7/Il6/Casp8/Ccl20/Traf1/Traf2/Creb3l1/Il1b/Vcam1/Tnfrsf1b/Cxcl5/Cxcl3/Cxcl1/Ikbkb/Casp3/Birc3/Lif/Cxcl10/Ccl5/Ccl12/Ccl2/Cyld/Pik3cd/Atf4/Creb5/Socs3/Bcl3/Nod2/Birc2/Cxcl2/Ifi47/Map2k1/Atf6b/Nfkb1/Icam1/Ifnb1/Adam17,52,yes,Severe
Human Diseases,Infectious disease: bacterial,mmu05152,Tuberculosis - Mus musculus (house mouse),69/1643,180/9577,0.383333333,2.234439034,7.60809694,7.24E-12,8.40E-11,5.85E-11,Itgb2/Tcirg1/Tgfb1/Bax/Il12b/Bid/Fcgr1/Il10/Lsp1/Rab5c/Syk/Ppp3cc/Ciita/Ifngr2/Atp6v0c/C3/H2-Oa/Hspa9/Tnf/Cd74/Jak2/Il6/Casp8/Stat1/Fcgr2b/Card9/Il1b/Tlr2/Bcl10/Plk3/Clec4e/Coro1a/Itgam/Itgax/Casp3/Il10ra/Myd88/Malt1/H2-Ea/H2-Aa/H2-DMb2/H2-DMa/Ctss/Ripk2/H2-Ob/Tlr1/Tlr9/Tlr6/Ifng/Nod2/Fcer1g/Fcgr4/Fcgr3/Irak4/H2-Eb1/Cycs/H2-Eb2/H2-Ab1/Clec7a/H2-DMb1/Raf1/Ctsd/Apaf1/Nos2/Nfya/Nfkb1/Atp6v0a2/Tlr4/Ifnb1,69,yes,Severe
