,Severe1,Severe2,Severe3,Severe4,Severe5,Severe6,Middle1,Middle2,Middle3,Middle4,Middle5,Middle6,Mild1,Mild2,Mild3,Mild4,Mild5,Mild6
ASV31,8,0,13,346,41,0,84,197,0,24,210,0,0,11,0,134,0,11
ASV465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1652,0
ASV24,20,4,25,37,55,12,137,53,83,16,113,81,100,137,87,85,32,55
ASV35,15,1,24,8,27,2,49,240,67,117,61,54,69,86,93,102,38,50
ASV115,0,0,0,0,0,0,0,196,88,208,0,56,152,94,121,105,0,104
ASV466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1281,0
ASV114,0,4,0,0,0,0,93,358,51,112,67,0,115,88,61,57,0,0
ASV179,0,0,1109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV29,0,0,0,0,51,0,0,129,31,148,0,62,0,63,62,0,0,40
ASV39,16,0,9,6,11,0,53,306,29,52,32,39,50,39,44,47,0,16
ASV32,20,0,13,22,35,0,48,28,44,67,93,49,27,49,38,21,49,54
ASV117,0,0,0,0,0,0,43,59,40,129,54,0,0,63,64,76,42,104
ASV46,0,0,15,10,9,0,23,150,49,8,0,0,54,59,78,95,25,39
ASV685,0,0,0,0,0,0,0,12,710,3,0,0,0,0,0,0,0,0
ASV43,9,0,0,9,10,0,25,142,31,45,20,14,46,39,51,65,12,20
ASV119,27,0,15,0,0,0,45,0,37,49,64,0,35,40,53,13,74,0
ASV36,14,0,12,26,19,6,39,113,16,31,27,21,42,46,27,29,0,10
ASV88,7,0,11,0,3,0,23,142,14,28,18,23,31,24,46,30,16,22
ASV41,18,0,0,5,9,0,6,325,8,12,5,2,16,25,17,0,0,0
ASV646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,393
ASV116,0,0,0,0,0,0,82,0,0,0,95,68,0,91,0,0,0,0
ASV467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,481,0
ASV118,0,0,4,9,0,2,8,52,27,5,3,7,22,48,61,24,19,32
ASV50,12,0,11,0,8,0,19,89,11,51,10,19,24,35,23,13,0,8
ASV60,0,0,9,5,6,0,23,22,22,23,11,21,22,23,16,30,14,13
ASV123,0,0,33,0,0,0,11,66,24,21,0,17,41,21,21,0,10,33
ASV30,28,0,0,14,47,0,74,0,0,0,115,0,0,0,0,42,0,0
ASV34,0,0,0,9,27,0,30,28,0,0,30,31,11,29,0,7,34,28
ASV578,19,0,0,0,0,0,25,66,0,62,113,77,0,0,0,0,0,0
ASV57,0,0,4,0,6,1,24,51,10,9,9,9,23,18,44,28,4,16
ASV121,22,0,0,0,0,0,0,0,89,0,37,0,50,27,32,40,0,0
ASV584,0,0,0,0,0,21,12,0,85,0,0,0,0,0,0,0,0,0
ASV126,9,0,0,1,0,0,8,26,6,0,0,0,17,17,16,14,0,8
ASV468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,0
ASV40,0,0,0,0,8,0,48,24,0,13,40,31,0,13,0,0,0,0
ASV504,107,0,0,0,0,0,0,0,28,11,0,0,0,0,6,0,8,0
ASV297,0,0,0,28,0,0,0,0,0,118,0,0,0,0,0,0,9,9
ASV45,3,0,0,0,8,0,22,21,0,15,14,29,0,15,0,6,0,0
ASV863,0,0,0,0,0,0,0,0,197,0,0,0,0,0,0,0,0,0
ASV56,3,0,0,0,5,0,3,15,0,0,5,0,0,4,16,10,5,0
ASV469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,0
ASV317,0,0,0,0,0,0,20,0,0,0,188,0,0,0,0,0,0,0
ASV736,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0
ASV62,0,0,0,4,6,0,0,31,4,15,10,0,0,17,18,21,0,4
ASV491,0,0,0,11,0,0,0,24,14,25,28,0,0,0,27,0,12,0
ASV792,0,0,0,0,0,0,0,0,0,0,0,163,0,0,0,0,0,0
ASV470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0
ASV139,0,0,2,0,0,0,4,49,0,9,6,0,12,4,11,10,8,0
ASV864,0,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0
ASV127,0,0,0,0,0,0,0,30,8,0,0,0,17,16,13,18,7,0
ASV294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV132,0,0,0,0,0,0,0,28,7,8,5,5,12,10,5,12,0,0
ASV122,0,0,0,0,0,0,0,0,0,21,45,0,0,19,0,27,6,0
ASV252,0,0,0,0,0,0,0,47,15,0,0,0,30,0,0,0,0,0
ASV55,0,0,0,0,7,0,0,0,22,0,0,0,0,0,14,0,14,0
ASV471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0
ASV683,0,0,0,0,0,0,0,18,19,0,0,23,0,0,0,0,0,48
ASV129,0,0,0,0,0,0,4,2,3,16,11,0,12,13,12,3,0,13
ASV84,0,0,3,2,3,0,0,14,3,0,0,0,9,12,0,6,0,6
ASV134,0,0,0,0,0,0,0,20,0,20,0,9,10,7,8,26,0,0
ASV135,0,0,0,0,0,0,0,14,5,10,10,0,14,9,8,0,0,0
ASV258,0,0,0,0,0,0,0,22,0,5,3,4,10,0,13,9,0,3
ASV137,0,0,0,0,0,0,2,26,1,7,0,0,0,7,7,8,0,8
ASV186,0,0,38,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0
ASV647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0
ASV124,10,0,0,0,0,0,0,0,0,42,0,0,0,23,0,0,0,0
ASV680,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0
ASV255,0,0,0,0,0,0,10,32,0,10,0,0,17,0,0,9,11,0
ASV131,5,2,0,0,0,0,2,5,2,6,0,0,33,8,5,0,0,7
ASV472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0
ASV66,4,0,3,0,4,0,0,11,11,8,0,0,6,5,5,8,0,0
ASV369,0,0,0,0,0,0,0,42,0,0,0,16,0,0,0,0,0,0
ASV877,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
ASV473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0
ASV141,0,0,0,0,0,0,0,17,0,0,0,0,0,5,24,14,0,0
ASV1341,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0
ASV474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0
ASV295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0
ASV1223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1010,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0
ASV296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV120,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0
ASV130,0,1,0,0,0,0,0,0,0,16,0,0,0,11,0,0,10,0
ASV374,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,19,0,0
ASV52,14,0,0,6,8,0,17,3,0,0,0,9,0,0,0,0,0,0
ASV367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0
ASV256,0,0,0,0,0,0,0,24,0,0,0,0,12,0,0,7,0,5
ASV160,0,0,0,0,0,0,0,16,0,5,3,0,3,4,5,2,0,0
ASV929,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV155,0,0,4,0,0,0,0,0,0,6,0,0,7,4,0,10,0,4
ASV89,0,0,5,0,2,0,0,0,2,0,0,0,0,5,5,0,0,0
ASV478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
ASV477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0
ASV1342,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0
ASV74,0,0,0,0,4,0,0,0,0,0,0,2,0,7,5,0,0,0
ASV479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0
ASV480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0
ASV1224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV109,0,0,4,0,2,0,28,0,0,0,0,0,0,0,0,0,0,0
ASV481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
ASV1126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0
ASV482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
ASV650,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,13,0,0
ASV577,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0
ASV1271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV157,5,0,0,0,0,0,0,13,0,1,0,0,0,3,0,0,4,0
ASV411,0,0,0,2,0,0,4,0,0,5,0,3,0,0,0,6,0,0
ASV1011,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0
ASV388,0,0,0,0,0,0,5,0,0,4,3,0,0,0,0,0,0,0
ASV405,0,0,0,0,0,0,0,3,0,0,0,21,0,0,0,0,0,0
ASV368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV793,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0
ASV579,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0
ASV428,0,0,0,0,0,0,1,3,0,7,3,0,0,0,0,0,0,0
ASV1055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV681,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0
ASV930,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0
ASV271,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0
ASV261,0,0,0,0,0,0,0,0,0,7,0,0,8,0,0,0,0,0
ASV187,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV125,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0
ASV1013,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0
ASV1012,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0
ASV697,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
ASV1282,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0
ASV1056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1017,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,2
ASV418,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
ASV682,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0
ASV253,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0
ASV1015,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0
ASV188,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1014,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0
ASV1016,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0
ASV370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV254,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0
ASV1225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
ASV794,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0
ASV189,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1343,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0
ASV301,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
ASV484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0
ASV795,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
ASV684,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
ASV652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,5
ASV385,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0,0,0,0
ASV648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
ASV630,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ASV595,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
ASV1344,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0
ASV486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
ASV796,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
ASV487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
ASV737,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
ASV290,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0
ASV488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
ASV988,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
ASV299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV797,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0
ASV1272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV190,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0
ASV372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1345,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0
ASV979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
ASV37,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV580,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
ASV128,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0
ASV1273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV191,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV798,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0
ASV581,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
ASV744,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
ASV865,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
ASV1275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
ASV651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
ASV1127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
ASV1018,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
ASV447,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV799,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
ASV1274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV738,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
ASV583,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
ASV1347,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0
ASV492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
ASV931,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1346,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0
ASV1166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
ASV192,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
ASV1167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
ASV38,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
ASV582,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
ASV373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV803,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
ASV801,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
ASV376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV377,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
ASV585,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
ASV912,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
ASV1277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
ASV866,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
ASV194,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV802,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0
ASV932,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV800,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0
ASV375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV193,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
ASV760,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV631,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,8
ASV867,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
ASV495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
ASV1058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
ASV868,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
ASV804,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
ASV971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV257,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
ASV973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV195,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV563,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0
ASV542,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,3,0
ASV972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
ASV196,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
ASV1281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
ASV1278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV805,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
ASV869,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
ASV1059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
ASV761,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
ASV500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
ASV133,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
ASV806,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
ASV1228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV292,0,0,0,0,0,0,0,0,0,7,0,0,2,0,0,0,0,0
ASV974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
ASV197,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV587,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
ASV1349,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0
ASV871,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
ASV759,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ASV586,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
ASV1348,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0
ASV1060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
ASV498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
ASV739,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
ASV933,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV42,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV934,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV872,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
ASV870,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
ASV501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
ASV1170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
ASV808,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
ASV44,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
ASV686,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
ASV198,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV741,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
ASV1350,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
ASV1131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
ASV740,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
ASV975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
